region,period,tech,vintage,cost,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,2045,T_H2_LDV_REFUEL,2045,2.74118292,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution",T24,,,,,,TRPHRAB001
AB,2025,T_H2_MDV_REFUEL,2025,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2030,T_H2_MDV_REFUEL,2025,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2030,T_H2_MDV_REFUEL,2030,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2035,T_H2_MDV_REFUEL,2030,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2035,T_H2_MDV_REFUEL,2035,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2040,T_H2_MDV_REFUEL,2035,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2040,T_H2_MDV_REFUEL,2040,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2045,T_H2_MDV_REFUEL,2040,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2045,T_H2_MDV_REFUEL,2045,2.460378816,2020 CAD (M$/PJ/year),"Obtained from the Open Energy Outlook 2022; costs derived from the IEA Future of Hydrogen 2019 report, Annex table: distribution. Assumed the same costs as HDV stations.",T24,,,,,,TRPHRAB001
AB,2025,T_HDV_CHRG,2025,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2030,T_HDV_CHRG,2025,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2030,T_HDV_CHRG,2030,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2035,T_HDV_CHRG,2025,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2035,T_HDV_CHRG,2030,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2035,T_HDV_CHRG,2035,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2040,T_HDV_CHRG,2030,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2040,T_HDV_CHRG,2035,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2040,T_HDV_CHRG,2040,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
AB,2045,T_HDV_CHRG,2035,0.093601368,2020 CAD (M$/PJ/year),"Obtained directly from OEO estimates, assuming 1% of capital costs as per Bourlag et al. 2021.",T24,,,,,,TRPHRAB001
