region,output_comm,min_output,period,commodity,demand,satisfaction
MB,C_D_spc,4.06974819752284,2025,C_D_spc,5.226080422180796,78.0
SK,C_D_spc,2.5760259279624282,2025,C_D_spc,3.307948800701941,78.0
NS,R_D_spc,0.8378354186794419,2025,R_D_spc,1.0808632910759615,78.0
NS,R_D_app_cdry,0.01521359666666667,2025,R_D_app_cdry,0.019537442770073892,78.0
ON,C_D_spc,80.22915888104765,2025,C_D_spc,103.02456470684943,78.0
NB,R_D_spc,1.13583523122672,2025,R_D_spc,1.434230326091404,79.0
AB,R_D_app_dsh,0.06335336,2025,R_D_app_dsh,0.08036032384224716,79.0
PEI,R_D_wah,0.48395793323133374,2025,R_D_wah,0.6089885176311627,79.0
ON,R_D_app_cdry,0.19892496,2025,R_D_app_cdry,0.2526641910720418,79.0
SK,R_D_app_cdry,0.023008960000000002,2025,R_D_app_cdry,0.029001726684810596,79.0
AB,C_D_sph,118.0795112243844,2025,C_D_sph,150.11762905724075,79.0
NLLAB,R_D_app_cwsh,0.00853108,2025,R_D_app_cwsh,0.010856238267004692,79.0
NS,R_D_sph,17.9678267176,2025,R_D_sph,22.321957625047872,80.0
NS,C_D_sph,8.694079624496966,2025,C_D_sph,10.8713142377749,80.0
BC,R_D_wah,25.212666089807897,2025,R_D_wah,31.53812155369374,80.0
SK,R_D_wah,5.881570043854258,2025,R_D_wah,7.3636231350489965,80.0
ON,R_D_wah,49.8765577319129,2025,R_D_wah,62.611023370256675,80.0
BC,T_D_tkm_mdv_t,10.275503603698821,2025,T_D_tkm_mdv_t,12.787445814,80.0
NB,R_D_sph,15.3536768124,2025,R_D_sph,19.01994873782197,81.0
ON,C_D_sph,227.31574357432936,2025,C_D_sph,279.81491261792434,81.0
MB,T_D_tkm_mdv_t,0.9269657798822952,2025,T_D_tkm_mdv_t,1.138394298,81.0
QC,R_D_app_cdry,0.13808257666666668,2025,R_D_app_cdry,0.16841767948357883,82.0
NLLAB,C_D_sph,6.606404345772492,2025,C_D_sph,8.074380436553684,82.0
BC,C_D_spc,29.4550378876343,2025,C_D_spc,35.833319262348546,82.0
AB,R_D_sph,121.32876143760002,2025,R_D_sph,145.5117771681281,83.0
AB,R_D_spc,1.7486908166095478,2025,R_D_spc,2.1190870261236605,83.0
NB,R_D_wah,3.2427715121523573,2025,R_D_wah,3.8977136456344543,83.0
NB,R_D_app_dsh,0.010497666666666666,2025,R_D_app_dsh,0.012586517935729106,83.0
MB,R_D_wah,6.025719241564664,2025,R_D_wah,7.301649023956325,83.0
