region,emis_comm,input_comm,tech,vintage,output_comm,activity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,co2e,F_cng,F_T_CNG,2040,T_cng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_cng,F_T_CNG,2045,T_cng,52.14597855,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_gsl,F_T_GSL,2020,T_gsl,65.4,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_gsl,F_T_GSL,2025,T_gsl,65.4,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_gsl,F_T_GSL,2030,T_gsl,65.4,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_gsl,F_T_GSL,2035,T_gsl,65.4,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_gsl,F_T_GSL,2040,T_gsl,65.4,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_gsl,F_T_GSL,2045,T_gsl,65.4,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_gsl,F_T_GSL,2020,T_gsl,77.14,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_gsl,F_T_GSL,2025,T_gsl,77.14,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_gsl,F_T_GSL,2030,T_gsl,77.14,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_gsl,F_T_GSL,2035,T_gsl,77.14,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_gsl,F_T_GSL,2040,T_gsl,77.14,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,ch4,F_gsl,F_T_GSL,2045,T_gsl,77.14,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_gsl,F_T_GSL,2020,T_gsl,1.429,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_gsl,F_T_GSL,2025,T_gsl,1.429,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_gsl,F_T_GSL,2030,T_gsl,1.429,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_gsl,F_T_GSL,2035,T_gsl,1.429,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_gsl,F_T_GSL,2040,T_gsl,1.429,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,n2o,F_gsl,F_T_GSL,2045,T_gsl,1.429,Tonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_gsl,F_T_GSL,2020,T_gsl,67.950037,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_gsl,F_T_GSL,2025,T_gsl,67.950037,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_gsl,F_T_GSL,2030,T_gsl,67.950037,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_gsl,F_T_GSL,2035,T_gsl,67.950037,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_gsl,F_T_GSL,2040,T_gsl,67.950037,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2e,F_gsl,F_T_GSL,2045,T_gsl,67.950037,kTonne/PJ,Using the GWP100 values from IPCC AR6,F5,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_hfo,F_T_HFO,2020,T_hfo,73.51,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_hfo,F_T_HFO,2025,T_hfo,73.51,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_hfo,F_T_HFO,2030,T_hfo,73.51,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_hfo,F_T_HFO,2035,T_hfo,73.51,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_hfo,F_T_HFO,2040,T_hfo,73.51,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
AB,co2,F_hfo,F_T_HFO,2045,T_hfo,73.51,kTonne/PJ,,F6,1.0,2.0,2.0,2.0,2.0,FUELHRAB001
