region,tech,vintage,capacity,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
ON,T_HDV_BS_DSL,2005.0,1.362687352,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_DSL,2010.0,4.391629482,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_DSL,2015.0,4.785641575,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_GSL,2005.0,0.044870388,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_GSL,2010.0,0.262042638,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BS_GSL,2015.0,0.581671873,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of school buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_BEV,2005.0,0.172883229,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_BEV,2010.0,0.590285109,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_BEV,2015.0,0.970090629,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_CNG,2005.0,0.009465336,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_CNG,2010.0,0.030117791,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_CNG,2015.0,0.050616984,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_DSL,2005.0,0.558348226,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_DSL,2010.0,1.825466815,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_DSL,2015.0,2.025361999,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_GSL,2010.0,0.007139346,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_BT_GSL,2015.0,0.032924023,k units,"Vehicle class 2021 fleet stock was distributed across vintages up to 2020 based on bus registrations by age (ON Ministry of Transportation, 2023). Fuel types from each vintage were distributed based on estimated activity shares, using fuel usage data and fuel economy inputs of transit buses from GREET 2023.",T17,,,,,,TRPHRON001
ON,T_HDV_CHRG,2005.0,0.209345899,PJ/year,Existing capacity of EV chargers estimated from energy consumption of BEV classes.,,,,,,,TRPHRON001
ON,T_HDV_CHRG,2010.0,0.739836833,PJ/year,Existing capacity of EV chargers estimated from energy consumption of BEV classes.,,,,,,,TRPHRON001
ON,T_HDV_CHRG,2015.0,1.131067789,PJ/year,Existing capacity of EV chargers estimated from energy consumption of BEV classes.,,,,,,,TRPHRON001
ON,T_HDV_RF_DSL,2000.0,22.561000374,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_RF_DSL,2005.0,17.264503118,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_RF_DSL,2010.0,28.96119854,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_RF_DSL,2015.0,22.834574922,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_RICP_DSL,2000.0,0.093262509,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_RICP_DSL,2005.0,0.053707155,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_RICP_DSL,2010.0,0.070164315,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_RICP_DSL,2015.0,0.124327015,bpkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Rails reportedly only consume diesel.",T17,,,,,,TRPHRON001
ON,T_HDV_WTF_HFO,2000.0,2.131662058,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRON001
ON,T_HDV_WTF_HFO,2005.0,8.653369733,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRON001
ON,T_HDV_WTF_HFO,2010.0,22.398071163,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRON001
ON,T_HDV_WTF_HFO,2015.0,8.161665736,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRON001
ON,T_HDV_WTF_MDO,2000.0,1.702811321,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRON001
ON,T_HDV_WTF_MDO,2005.0,1.779041743,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRON001
ON,T_HDV_WTF_MDO,2010.0,2.876054141,btkm,"As the provincial stock for this technology is unknown, activity units were used. Activity by vintage was estimated using a flow and stock analysis using an avg. annual fleet retirement factor using expected lifetime, meeting 2019 downscaled demand with 5% tolerance. Activity was distributed across fuel types using estimated activity shares, based on provincial energy use and national energy intensity.",T17,,,,,,TRPHRON001
