region,tech,c2a,notes_x,data_source_x,dq_cred_x,dq_geog_x,dq_struc_x,dq_tech_x,dq_time_x,data_id_x,vintage,output_comm,operator,factor,notes_y,data_source_y,dq_cred_y,dq_geog_y,dq_struc_y,dq_tech_y,dq_time_y,data_id_y,capacity,virtual_demand,demand_type
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,22.883207235037915,1.1926462768951953,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,22.196711017986775,1.1568668885883393,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2020,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,69.85786656401409,3.6409111543526476,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,3.297716758021438,0.16348912317163464,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,3.1987852552807947,0.1585844494764856,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,2.8360364118984367,0.1406006459276058,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,22.883207235037915,1.1344684097295763,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,22.196711017986775,1.100434357437689,T_D_pkm_ldv
ON,T_LDV_C_BEV150,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2020,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,69.85786656401409,3.4633057321891045,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,35.243159999999996,1.8368327100434976,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,34.185865199999995,1.7817277287421927,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,30.309117599999997,1.579676130637408,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,17.974011599999997,0.9367846821221838,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,39.286788886065146,2.0475819676356437,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,38.10818521948319,1.9861545086065744,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,33.78663844201603,1.7609204921666537,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,2.7100935828750123,0.14124694097532123,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,2.628790775388762,0.1370095327460616,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2020,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,0.0012414831603704,6.470466547087515e-05,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,35.243159999999996,1.7472311144316202,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,34.185865199999995,1.6948141809986714,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,30.309117599999997,1.5026187584111934,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,17.974011599999997,0.8910878683601262,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,39.286788886065146,1.9476999204339056,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,38.10818521948319,1.8892689228208883,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,33.78663844201603,1.6750219315731587,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,2.7100935828750123,0.13435684629359826,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2015,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,2.628790775388762,0.13032614090479033,T_D_pkm_ldv
ON,T_LDV_C_DSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2020,T_D_pkm_ldv_c,ge,0.0381357385143151,,,,,,,,TRPHRON002,0.0012414831603704,6.154834032595443e-05,T_D_pkm_ldv
ON,T_LDV_C_GSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,1139.52884,59.39092429140643,T_D_pkm_ldv
ON,T_LDV_C_GSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,1105.3429747999999,57.60919656266423,T_D_pkm_ldv
ON,T_LDV_C_GSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,979.9948023999999,51.07619489060953,T_D_pkm_ldv
ON,T_LDV_C_GSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2005,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,581.1597084,30.28937138861728,T_D_pkm_ldv
ON,T_LDV_C_GSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,1321.0211698728288,68.85009447173125,T_D_pkm_ldv
ON,T_LDV_C_GSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,1281.3905347766438,66.78459163757931,T_D_pkm_ldv
ON,T_LDV_C_GSL,1.3,"An estimate of how much activity a unit of capacity can deliver in a year. Assuming this vehicle class can be driven at an avg. speed of 50 km/h carrying 4 passengers for 6,500 hours each year. ",,,,,,,TRPHRON002,2010,T_D_pkm_ldv_c,le,0.0400914174124851,,,,,,,,TRPHRON002,1136.0782060906326,59.211081245688874,T_D_pkm_ldv
