tech,period,capacity
E_WND_ON-NEW-11,2050,9.451692594142358e-06
E_WND_ON-NEW-12,2025,-0.0026997743722943224
E_WND_ON-NEW-12,2030,-2.423178103257311
E_WND_ON-NEW-12,2035,0.0013108352765742737
E_WND_ON-NEW-12,2040,0.0006046785395312781
E_WND_ON-NEW-12,2045,5.218023901676361e-05
E_WND_ON-NEW-12,2050,5.325568825931271e-07
E_WND_ON-NEW-13,2025,-0.001638005044875021
E_WND_ON-NEW-13,2030,-1.9178234781953782
E_WND_ON-NEW-13,2035,-0.009214792236258873
E_WND_ON-NEW-13,2040,0.0018981966392286331
E_WND_ON-NEW-13,2045,0.00014864194312869117
E_WND_ON-NEW-13,2050,6.917126893934977e-06
E_WND_ON-NEW-2,2025,-0.0012731310926472241
E_WND_ON-NEW-2,2030,-0.026683405591309415
E_WND_ON-NEW-2,2035,-0.6331092907349217
E_WND_ON-NEW-2,2040,0.0025015889768569277
E_WND_ON-NEW-2,2045,0.00017781972419517178
E_WND_ON-NEW-2,2050,2.9612979046689247e-06
E_WND_ON-NEW-3,2025,-0.3752838410178797
E_WND_ON-NEW-3,2030,0.00020032782869289223
E_WND_ON-NEW-3,2035,8.677509072468892e-05
E_WND_ON-NEW-3,2040,1.48643185609032e-05
E_WND_ON-NEW-3,2045,1.3523489068634209e-05
E_WND_ON-NEW-3,2050,2.1410378398534213e-06
E_WND_ON-NEW-4,2025,-0.0066291073578027115
E_WND_ON-NEW-4,2030,-0.1296042922258375
E_WND_ON-NEW-4,2035,-0.002770325189078382
E_WND_ON-NEW-4,2040,0.0013596404439394916
E_WND_ON-NEW-4,2045,8.663159604632709e-05
E_WND_ON-NEW-4,2050,1.1003890215688372e-06
E_WND_ON-NEW-5,2025,-0.0114928625339098
E_WND_ON-NEW-5,2030,-0.5178584397049497
E_WND_ON-NEW-5,2035,0.0006392327717211765
E_WND_ON-NEW-5,2040,0.00036255179232447254
E_WND_ON-NEW-5,2045,3.4731718888791896e-05
E_WND_ON-NEW-5,2050,8.890714021658752e-07
E_WND_ON-NEW-6,2025,-0.004830124779350449
E_WND_ON-NEW-6,2030,0.0016039007666671101
E_WND_ON-NEW-6,2035,0.00012992310967330223
E_WND_ON-NEW-6,2040,7.644184497185291e-05
E_WND_ON-NEW-6,2045,1.0966184904925846e-05
E_WND_ON-NEW-6,2050,7.34452278383646e-07
E_WND_ON-NEW-7,2025,-0.002331215187086808
E_WND_ON-NEW-7,2030,-0.6651019770290462
E_WND_ON-NEW-7,2035,0.0008384757417767563
E_WND_ON-NEW-7,2040,0.001999941830808538
E_WND_ON-NEW-7,2045,0.0001664197854631677
E_WND_ON-NEW-7,2050,1.5868179290556839e-06
E_WND_ON-NEW-8,2025,-0.16026419767932892
E_WND_ON-NEW-8,2030,0.000525709801289409
E_WND_ON-NEW-8,2035,5.566613695140443e-05
E_WND_ON-NEW-8,2040,2.2943774377059967e-05
E_WND_ON-NEW-8,2045,1.1390535320177086e-05
E_WND_ON-NEW-8,2050,1.4334997409104488e-06
E_WND_ON-NEW-9,2025,-0.0015605531421354507
E_WND_ON-NEW-9,2030,-0.013843069436539667
E_WND_ON-NEW-9,2035,-1.4095268501233185
E_WND_ON-NEW-9,2040,-1.2819883778014267
E_WND_ON-NEW-9,2045,-1.9534825691044124
E_WND_ON-NEW-9,2050,-0.09568501835172238
R_APP_CL_WASH-EXS,2025,0.0
R_APP_CL_WASH-EXS,2030,0.0
R_APP_CL_WASH-TYP-NEW,2025,-2.9976745108406533e-07
R_APP_CL_WASH-TYP-NEW,2030,-4.393374983813203e-07
R_APP_CL_WASH-TYP-NEW,2035,-1.355367027500165e-07
R_APP_CL_WASH-TYP-NEW,2040,-2.608976004125907e-07
R_APP_CL_WASH-TYP-NEW,2045,-3.247404780637453e-07
R_APP_CL_WASH-TYP-NEW,2050,-4.0953178004343727e-07
R_APP_COOK_ELEC-EXS,2025,0.0
R_APP_COOK_ELEC-EXS,2030,0.0
R_APP_COOK_ELEC-EXS,2035,0.0
R_APP_COOK_ELEC-TYP-NEW,2025,-0.00035770760664866606
R_APP_COOK_ELEC-TYP-NEW,2030,-0.0007649013902872011
R_APP_COOK_ELEC-TYP-NEW,2035,-0.0014108408945591442
R_APP_COOK_ELEC-TYP-NEW,2040,-0.0017053703408614967
R_APP_COOK_ELEC-TYP-NEW,2045,-0.0019607854898068666
R_APP_COOK_ELEC-TYP-NEW,2050,-0.0020710888247204903
R_APP_COOK_NG-EXS,2025,0.0
R_APP_COOK_NG-EXS,2030,0.0
R_APP_COOK_NG-TYP-NEW,2025,0.00035471321125291055
R_APP_COOK_NG-TYP-NEW,2030,0.0007583832560076331
R_APP_COOK_NG-TYP-NEW,2035,0.0014153425763252514
R_APP_COOK_NG-TYP-NEW,2040,0.001704697174528036
R_APP_COOK_NG-TYP-NEW,2045,0.0019588781855306436
R_APP_COOK_NG-TYP-NEW,2050,0.0020680811568327684
R_APP_DRY_ELEC-EXS,2025,0.0
R_APP_DRY_ELEC-EXS,2030,0.0
R_APP_DRY_ELEC-TYP-NEW,2025,-0.00023996265161871458
R_APP_DRY_ELEC-TYP-NEW,2030,-0.000515493215551163
R_APP_DRY_ELEC-TYP-NEW,2035,-0.0008228752091825468
R_APP_DRY_ELEC-TYP-NEW,2040,-0.001028661884753213
R_APP_DRY_ELEC-TYP-NEW,2045,-0.0011419594428292992
R_APP_DRY_ELEC-TYP-NEW,2050,-0.0012597389567741218
R_APP_DRY_NG-EXS,2025,0.0
R_APP_DRY_NG-EXS,2030,0.0
R_APP_DRY_NG-TYP-NEW,2025,0.00023778824506859308
R_APP_DRY_NG-TYP-NEW,2030,0.0005079484635484022
R_APP_DRY_NG-TYP-NEW,2035,0.0008329698123876739
R_APP_DRY_NG-TYP-NEW,2040,0.0010273499271997721
R_APP_DRY_NG-TYP-NEW,2045,0.0011396996063393061
R_APP_DRY_NG-TYP-NEW,2050,0.0012575451808007898
R_APP_DS_WASH-EXS,2025,0.0
R_APP_DS_WASH-EXS,2030,0.0
R_APP_DS_WASH-EXS,2035,0.0
R_APP_DS_WASH-TYP-NEW,2025,2.0288498481235706e-07
R_APP_DS_WASH-TYP-NEW,2030,-1.2422391657551657e-06
R_APP_DS_WASH-TYP-NEW,2035,-1.259890851201817e-06
R_APP_DS_WASH-TYP-NEW,2040,-8.217854992054185e-07
R_APP_DS_WASH-TYP-NEW,2045,-9.163045042726026e-07
R_APP_DS_WASH-TYP-NEW,2050,-1.036367638818092e-06
R_APP_FREZ-EXS,2025,0.0
R_APP_FREZ-EXS,2030,0.0
R_APP_FREZ-EXS,2035,0.0
R_APP_FREZ-EXS,2040,0.0
R_APP_FREZ-TYP-NEW,2025,-3.597915421149622e-07
R_APP_FREZ-TYP-NEW,2030,-1.3773550855411543e-06
R_APP_FREZ-TYP-NEW,2035,-1.6235452333646094e-06
R_APP_FREZ-TYP-NEW,2040,-1.71157203388006e-06
R_APP_FREZ-TYP-NEW,2045,-7.791041163329737e-07
R_APP_FREZ-TYP-NEW,2050,-9.155950486672282e-07
R_APP_REFR-EXS,2025,0.0
R_APP_REFR-EXS,2030,0.0
R_APP_REFR-TYP-NEW,2025,-2.708351574121082e-07
R_APP_REFR-TYP-NEW,2030,-7.166873334796264e-07
R_APP_REFR-TYP-NEW,2035,-3.9384134531417203e-07
R_APP_REFR-TYP-NEW,2040,-4.677034457500895e-07
R_APP_REFR-TYP-NEW,2045,-5.356558734348482e-07
R_APP_REFR-TYP-NEW,2050,-6.251240591836904e-07
R_LGT_CFL-EXS,2025,0.0
R_LGT_CFL-EXS,2030,0.0
R_LGT_CFL-EXS,2035,0.0
R_LGT_LED-EXS,2025,0.0
R_LGT_LED-EXS,2030,0.0
R_LGT_LED-EXS,2035,0.0
R_LGT_LED-EXS,2040,0.0
R_LGT_LED-EXS,2045,0.0
R_LGT_LED-EXS,2050,0.0
R_LGT_LED-TYP-NEW,2025,-0.010408356842674493
R_LGT_LED-TYP-NEW,2030,-0.00025799518601843374
R_LGT_LED-TYP-NEW,2035,0.0002544377996400726
R_LGT_LED-TYP-NEW,2040,-0.0006548729456881119
R_LGT_LED-TYP-NEW,2045,-0.0021663735838046705
R_LGT_LED-TYP-NEW,2050,0.001373146373794043
R_LGT_T12-EXS,2025,7.105427357601002e-15
R_LGT_T12-EXS,2030,0.0
R_LGT_T12-EXS,2035,0.0
R_LGT_T12-EXS,2040,0.0
R_LGT_T12-EXS,2045,0.0
R_SPC_CENT_AC-EXS,2025,-4.440892098500626e-16
R_SPC_CENT_AC-EXS,2030,-4.440892098500626e-16
R_SPC_CENT_AC-EXS,2035,0.0
R_SPC_CENT_AC-EXS,2040,0.0
R_SPC_CENT_AC-TYP-NEW,2025,-2.545660394263289e-05
R_SPC_CENT_AC-TYP-NEW,2030,-5.7172483887593976e-05
R_SPC_CENT_AC-TYP-NEW,2035,-9.427215862718205e-05
R_SPC_CENT_AC-TYP-NEW,2040,-0.00013396302273239023
R_SPC_CENT_AC-TYP-NEW,2045,-0.00015104352636905878
R_SPC_CENT_AC-TYP-NEW,2050,-0.0001651538363962888
R_SPC_ROOM_AC-EXS,2025,0.0
R_SPC_ROOM_AC-TYP-NEW,2025,-1.9884494747933166
R_SPC_ROOM_AC-TYP-NEW,2030,-4.10990449426143
R_SPC_ROOM_AC-TYP-NEW,2035,-2.884126227985935
R_SPC_ROOM_AC-TYP-NEW,2040,-0.7411461685819578
R_SPC_ROOM_AC-TYP-NEW,2045,1.0386504187464194
R_SPC_ROOM_AC-TYP-NEW,2050,0.3661590751612138
R_SPHC_AIR_HP-TYP-NEW,2025,0.7038419988368844
R_SPHC_AIR_HP-TYP-NEW,2030,1.4547653738372008
R_SPHC_AIR_HP-TYP-NEW,2035,1.0209772924367042
R_SPHC_AIR_HP-TYP-NEW,2040,0.2625405437863264
R_SPHC_AIR_HP-TYP-NEW,2045,-0.367370974021697
R_SPHC_AIR_HP-TYP-NEW,2050,-0.12932367097809325
R_SPHC_GEO_HP-TYP-NEW,2025,-1.3391986725463433e-05
R_SPHC_GEO_HP-TYP-NEW,2030,-2.9638578370334637e-05
R_SPHC_GEO_HP-TYP-NEW,2035,-5.106067126325864e-05
R_SPHC_GEO_HP-TYP-NEW,2040,-6.336215792782489e-05
R_SPHC_GEO_HP-TYP-NEW,2045,-7.600248735920161e-05
R_SPHC_GEO_HP-TYP-NEW,2050,-8.424277167052847e-05
R_SPHC_NG_HP-TYP-NEW,2025,-1.4806442413805123e-05
R_SPHC_NG_HP-TYP-NEW,2030,-3.333734179880793e-05
R_SPHC_NG_HP-TYP-NEW,2035,-5.6616093594580147e-05
R_SPHC_NG_HP-TYP-NEW,2040,-6.992443351052591e-05
R_SPHC_NG_HP-TYP-NEW,2045,-8.288581078356336e-05
R_SPHC_NG_HP-TYP-NEW,2050,-9.157333734987217e-05
R_SPH_ELEC-EXS,2025,0.0
R_SPH_ELEC-EXS,2030,0.0
R_SPH_ELEC-EXS,2035,0.0
R_SPH_ELEC-EXS,2040,0.0
R_SPH_ELEC_RAD-NEW,2025,-2.592069259765547e-05
R_SPH_ELEC_RAD-NEW,2030,-5.4656307753012825e-05
R_SPH_ELEC_RAD-NEW,2035,-8.25730790530458e-05
R_SPH_ELEC_RAD-NEW,2040,-0.000115647070928101
R_SPH_ELEC_RAD-NEW,2045,-0.00013608490745893348
R_SPH_ELEC_RAD-NEW,2050,-0.00014599432518965945
R_SPH_HP-EXS,2025,0.0
R_SPH_HP-EXS,2030,0.0
R_SPH_HP-EXS,2035,0.0
R_SPH_NG-ELC-EXS,2025,0.0
R_SPH_NG-ELC-EXS,2030,0.0
R_SPH_NG-ELC-EXS,2035,0.0
R_SPH_NG-ELC-EXS,2040,0.0
R_SPH_NG-EXS,2025,0.0
R_SPH_NG-EXS,2030,0.0
R_SPH_NG-EXS,2035,0.0
R_SPH_NG-EXS,2040,0.0
R_SPH_NG_FRN-TYP-NEW,2025,-0.5309658842109588
R_SPH_NG_FRN-TYP-NEW,2030,-1.093419404462876
R_SPH_NG_FRN-TYP-NEW,2035,-0.7675496485562512
R_SPH_NG_FRN-TYP-NEW,2040,-0.19688115330828992
R_SPH_NG_FRN-TYP-NEW,2045,0.27733467988222316
R_SPH_NG_FRN-TYP-NEW,2050,0.09776110357274614
R_SPH_OIL-ELC-EXS,2025,3.469446951953614e-18
R_SPH_OIL-ELC-EXS,2030,0.0
R_SPH_OIL-ELC-EXS,2035,0.0
R_SPH_OIL-ELC-EXS,2040,0.0
R_SPH_OIL-EXS,2025,0.0
R_SPH_OIL-EXS,2030,0.0
R_SPH_OIL-EXS,2035,0.0
R_SPH_OIL-EXS,2040,0.0
R_SPH_OTH-EXS,2025,0.0
R_SPH_OTH-EXS,2030,0.0
R_SPH_OTH-EXS,2035,0.0
R_SPH_OTH-EXS,2040,0.0
R_SPH_WOOD-ELC-EXS,2025,0.0
R_SPH_WOOD-ELC-EXS,2030,0.0
R_SPH_WOOD-ELC-EXS,2035,0.0
R_SPH_WOOD-EXS,2025,0.0
R_SPH_WOOD-EXS,2030,0.0
R_SPH_WOOD-EXS,2035,0.0
R_SPH_WOOD-OIL-EXS,2025,0.0
R_SPH_WOOD-OIL-EXS,2030,0.0
R_SPH_WOOD-OIL-EXS,2035,0.0
R_SPH_WOOD-OIL-EXS,2040,0.0
R_SPH_WOOD-TYP-NEW,2025,-1.0627794517009264e-05
R_SPH_WOOD-TYP-NEW,2030,-2.3311907156006e-05
R_SPH_WOOD-TYP-NEW,2035,-3.90774917972331e-05
R_SPH_WOOD-TYP-NEW,2040,-4.445655292952761e-05
R_SPH_WOOD-TYP-NEW,2045,-4.992831342902328e-05
R_SPH_WOOD-TYP-NEW,2050,-5.2709141657250254e-05
R_WAH_ELC-EXS,2025,0.0
R_WAH_ELC-EXS,2030,0.0
R_WAH_ELC-EXS,2035,0.0
R_WAH_ELEC-TYP-NEW,2025,-0.00019273651182509223
R_WAH_ELEC-TYP-NEW,2030,3.134197668275775
R_WAH_ELEC-TYP-NEW,2035,8.597544379358034
R_WAH_ELEC-TYP-NEW,2040,7.949611460639122
R_WAH_ELEC-TYP-NEW,2045,3.886956164267459
R_WAH_ELEC-TYP-NEW,2050,0.3839148459209749
R_WAH_HP-TYP-NEW,2025,-0.00031749280943386103
R_WAH_HP-TYP-NEW,2030,-0.0006800859729265584
R_WAH_HP-TYP-NEW,2035,-0.0011583903040148385
R_WAH_HP-TYP-NEW,2040,-0.0014973994189361028
R_WAH_HP-TYP-NEW,2045,-0.0018017758981626552
R_WAH_HP-TYP-NEW,2050,-0.0019778977469234495
R_WAH_LPG-EXS,2025,0.0
R_WAH_LPG-EXS,2030,0.0
R_WAH_NG-EXS,2025,0.0
R_WAH_NG-EXS,2030,0.0
R_WAH_NG-TYP-NEW,2025,0.0002625207244637551
R_WAH_NG-TYP-NEW,2030,-1.612116026998227
R_WAH_NG-TYP-NEW,2035,-4.385529382632271
R_WAH_NG-TYP-NEW,2040,-4.054803533922133
