period,tech,sector,flow
2025,T_I_H2_SMR,transportation,18.6451493334906
2025,T_LDV_BEV_CHRG,transportation,0.6606679796669391
2025,T_LDV_C_BEV150_EX,transportation,0.9829918856168738
2025,T_LDV_C_DSL_EX,transportation,0.8810451277721307
2025,T_LDV_C_GSL_EX,transportation,63.91753086655657
2025,T_LDV_C_GSL_HEV_EX,transportation,1.767793797261522
2025,T_LDV_C_GSL_PHEV35_EX,transportation,0.6102280715907124
2025,T_LDV_C_GSL_PHEV35_N,transportation,63.18819506725121
2025,T_LDV_LTF_DSL_EX,transportation,0.7186804187990378
2025,T_LDV_LTF_GSL_EX,transportation,8.115639503781585
2025,T_LDV_LTF_GSL_PHEV35_EX,transportation,0.009688508575676285
2025,T_LDV_LTF_GSL_PHEV50_N,transportation,5.442045412876465
2025,T_LDV_LTP_BEV300_EX,transportation,0.12340682338379183
2025,T_LDV_LTP_DSL_EX,transportation,3.314572708646824
2025,T_LDV_LTP_GSL_EX,transportation,79.3206009196474
2025,T_LDV_LTP_GSL_HEV_EX,transportation,0.587045750680528
2025,T_LDV_LTP_GSL_PHEV35_EX,transportation,0.12509739333653577
2025,T_LDV_LTP_GSL_PHEV35_N,transportation,49.5733852252944
2025,T_LDV_M_BEV_N,transportation,0.33768126768924545
2025,T_LDV_M_GSL_EX,transportation,0.9753686655924524
2025,T_LDV_PHEV_CHRG,transportation,34.307752352754584
2025,T_MDV_T_DSL_EX,transportation,4.929222911719014
2025,T_MDV_T_FCHEV_N,transportation,3.7390629768384804
2025,T_MDV_T_GSL_EX,transportation,3.1392096696457714
2025,T_OFF,transportation,50.400877397
2030,A_AGRI,agriculture,77.6778279729749
2030,E_A_ELC,agriculture,11.573997437106117
2030,E_BAT_2H-NEW,electricity,0.0013095808914472494
2030,E_BAT_4H-EXS,electricity,0.03611971528924973
2030,E_BAT_4H-NEW,electricity,0.0006015653724025825
2030,E_BAT_5H-EXS,electricity,0.0342599398986136
2030,E_ELC_DX_to_DEM,electricity,370.4979727419719
2030,E_ELC_TX_to_DX,electricity,288.6898797138032
2030,E_HYD_DLY-EXS,electricity,56.17603065405925
2030,E_HYD_ROR-EXS,electricity,73.7693477744958
2030,E_INT_IN-QC,electricity,1.2338767244494613
2030,E_INT_IN-USA,electricity,0.1398027168159464
2030,E_INT_OUT-USA,electricity,24.356897999999997
2030,E_I_ELC,industrial,150.9617439805983
2030,E_NG_CC_RFIT_BYPASS,electricity,3.687103388920255e-05
2030,E_NG_CG-EXS,electricity,8.037637660564574
2030,E_NUC_CANDU-EXS,electricity,207.69778230839586
