group_name,tech,output_comm,mode,demand_type,unit,fuel_type_1,fuel_type_2,vehicle_type,zev_class,status
HDV N-ZEV,T_HDV_BT_DSL_HEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,elc,hyb,non-zev,new
HDV,T_HDV_BT_DSL_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_BT_DSL_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_BT_DSL_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,NONE,ice,non-zev,new
HDV,T_HDV_BT_DSL_PHEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,elc,plug_in hyb,zev,new
HDV PHEV,T_HDV_BT_DSL_PHEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,elc,plug_in hyb,zev,new
HDV ZEV,T_HDV_BT_DSL_PHEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,dsl,elc,plug_in hyb,zev,new
HDV,T_HDV_BT_FCEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV H2,T_HDV_BT_FCEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV ZEV,T_HDV_BT_FCEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV,T_HDV_BT_FCHEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV hyb,T_HDV_BT_FCHEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,h2,NONE,h2,zev,new
HDV N-ZEV,T_HDV_BT_FCHEV_N,T_D_pkm_hdv_bt,Bus,pkm,k units,h2,NONE,h2,zev,new
Existing_HDV,T_HDV_BT_GSL_EX,T_D_pkm_hdv_bt,Bus,pkm,k units,gsl,NONE,ice,non-zev,Existing
HDV,T_HDV_BT_GSL_N,T_D_pkm_hdv_bt,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_BT_GSL_N,T_D_pkm_hdv_bt,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_BT_GSL_N,T_D_pkm_hdv_bt,Bus,pkm,k units,gsl,NONE,ice,non-zev,new
Existing_HDV,T_HDV_RF_DSL_EX,T_D_tkm_hdv_r,Rail,tkm,btkm-year,dsl,NONE,ice,non-zev,Existing
HDV,T_HDV_RF_DSL_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,dsl,NONE,ice,non-zev,new
HDV ICE,T_HDV_RF_DSL_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,dsl,NONE,ice,non-zev,new
HDV N-ZEV,T_HDV_RF_DSL_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,dsl,NONE,ice,non-zev,new
HDV,T_HDV_RF_H2_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,h2,NONE,h2,zev,new
HDV H2,T_HDV_RF_H2_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,h2,NONE,h2,zev,new
HDV ZEV,T_HDV_RF_H2_N,T_D_tkm_hdv_r,Rail,tkm,btkm-year,h2,NONE,h2,zev,new
