region,tech,vintage,lifetime,notes
AB,T_LDV_C_CNG_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_EX,2010.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_EX,2015.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_EX,2020.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_DSL_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_FCEV400_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_FCEV400_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_FCEV400_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_FCEV400_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_FCEV400_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_FCEV400_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_EX,2010.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_EX,2015.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_EX,2020.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_EX,2015.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_EX,2020.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_HEV_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_EX,2015.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_EX,2020.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV35_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV50_N,2025.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV50_N,2030.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV50_N,2035.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV50_N,2040.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV50_N,2045.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_C_GSL_PHEV50_N,2050.0,23,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV150_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV150_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV150_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV150_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV150_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV150_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV200_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV200_N,2030.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV200_N,2035.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV200_N,2040.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV200_N,2045.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV200_N,2050.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV300_N,2025.0,26,(y) age when vehicles have 0% survival rate
AB,T_LDV_LTF_BEV300_N,2030.0,26,(y) age when vehicles have 0% survival rate
