tech,vintage,fraction,notes,period,region
T_LDV_LTP_BEV150_N,2030,0.0508232,From MOVES5,2064,ON
T_LDV_LTP_BEV150_N,2030,0.044063714,From MOVES5,2065,ON
T_LDV_LTP_BEV150_N,2030,0.038159177,From MOVES5,2066,ON
T_LDV_LTP_BEV150_N,2030,0.033007688,From MOVES5,2067,ON
T_LDV_LTP_BEV150_N,2030,0.028518642,From MOVES5,2068,ON
T_LDV_LTP_BEV150_N,2030,0.024611588,From MOVES5,2069,ON
T_LDV_LTP_BEV150_N,2030,0.021215189,From MOVES5,2070,ON
T_LDV_LTP_BEV150_N,2030,0.018266278,From MOVES5,2071,ON
T_LDV_LTP_BEV150_N,2030,0,From MOVES5,2072,ON
T_LDV_LTP_BEV150_N,2035,1,From MOVES5,2035,ON
T_LDV_LTP_BEV150_N,2035,0.991,From MOVES5,2036,ON
T_LDV_LTP_BEV150_N,2035,0.982081,From MOVES5,2037,ON
T_LDV_LTP_BEV150_N,2035,0.973242271,From MOVES5,2038,ON
T_LDV_LTP_BEV150_N,2035,0.959616879,From MOVES5,2039,ON
T_LDV_LTP_BEV150_N,2035,0.941384159,From MOVES5,2040,ON
T_LDV_LTP_BEV150_N,2035,0.918790939,From MOVES5,2041,ON
T_LDV_LTP_BEV150_N,2035,0.891227211,From MOVES5,2042,ON
T_LDV_LTP_BEV150_N,2035,0.859143031,From MOVES5,2043,ON
T_LDV_LTP_BEV150_N,2035,0.823059024,From MOVES5,2044,ON
T_LDV_LTP_BEV150_N,2035,0.783552191,From MOVES5,2045,ON
T_LDV_LTP_BEV150_N,2035,0.741240372,From MOVES5,2046,ON
T_LDV_LTP_BEV150_N,2035,0.69676595,From MOVES5,2047,ON
T_LDV_LTP_BEV150_N,2035,0.651476163,From MOVES5,2048,ON
T_LDV_LTP_BEV150_N,2035,0.605221356,From MOVES5,2049,ON
T_LDV_LTP_BEV150_N,2035,0.552567098,From MOVES5,2050,ON
T_LDV_LTP_BEV150_N,2035,0.501730925,From MOVES5,2051,ON
T_LDV_LTP_BEV150_N,2035,0.453063025,From MOVES5,2052,ON
T_LDV_LTP_BEV150_N,2035,0.406850596,From MOVES5,2053,ON
T_LDV_LTP_BEV150_N,2035,0.363724433,From MOVES5,2054,ON
T_LDV_LTP_BEV150_N,2035,0.32407847,From MOVES5,2055,ON
T_LDV_LTP_BEV150_N,2035,0.287781681,From MOVES5,2056,ON
T_LDV_LTP_BEV150_N,2035,0.254686788,From MOVES5,2057,ON
T_LDV_LTP_BEV150_N,2035,0.224888434,From MOVES5,2058,ON
T_LDV_LTP_BEV150_N,2035,0.197901822,From MOVES5,2059,ON
T_LDV_LTP_BEV150_N,2035,0.173955701,From MOVES5,2060,ON
T_LDV_LTP_BEV150_N,2035,0.15255915,From MOVES5,2061,ON
T_LDV_LTP_BEV150_N,2035,0.133489256,From MOVES5,2062,ON
T_LDV_LTP_BEV150_N,2035,0.116803099,From MOVES5,2063,ON
T_LDV_LTP_BEV150_N,2035,0.101969106,From MOVES5,2064,ON
T_LDV_LTP_BEV150_N,2035,0.08891706,From MOVES5,2065,ON
T_LDV_LTP_BEV150_N,2035,0.077446759,From MOVES5,2066,ON
T_LDV_LTP_BEV150_N,2035,0.067378681,From MOVES5,2067,ON
T_LDV_LTP_BEV150_N,2035,0.058552073,From MOVES5,2068,ON
T_LDV_LTP_BEV150_N,2035,0.0508232,From MOVES5,2069,ON
T_LDV_LTP_BEV150_N,2035,0.044063714,From MOVES5,2070,ON
T_LDV_LTP_BEV150_N,2035,0.038159177,From MOVES5,2071,ON
T_LDV_LTP_BEV150_N,2035,0.033007688,From MOVES5,2072,ON
T_LDV_LTP_BEV150_N,2035,0.028518642,From MOVES5,2073,ON
T_LDV_LTP_BEV150_N,2035,0.024611588,From MOVES5,2074,ON
T_LDV_LTP_BEV150_N,2035,0.021215189,From MOVES5,2075,ON
T_LDV_LTP_BEV150_N,2035,0.018266278,From MOVES5,2076,ON
T_LDV_LTP_BEV150_N,2035,0,From MOVES5,2077,ON
T_LDV_LTP_BEV150_N,2040,1,From MOVES5,2040,ON
T_LDV_LTP_BEV150_N,2040,0.991,From MOVES5,2041,ON
T_LDV_LTP_BEV150_N,2040,0.982081,From MOVES5,2042,ON
T_LDV_LTP_BEV150_N,2040,0.973242271,From MOVES5,2043,ON
T_LDV_LTP_BEV150_N,2040,0.959616879,From MOVES5,2044,ON
T_LDV_LTP_BEV150_N,2040,0.941384159,From MOVES5,2045,ON
T_LDV_LTP_BEV150_N,2040,0.918790939,From MOVES5,2046,ON
T_LDV_LTP_BEV150_N,2040,0.891227211,From MOVES5,2047,ON
T_LDV_LTP_BEV150_N,2040,0.859143031,From MOVES5,2048,ON
T_LDV_LTP_BEV150_N,2040,0.823059024,From MOVES5,2049,ON
T_LDV_LTP_BEV150_N,2040,0.783552191,From MOVES5,2050,ON
T_LDV_LTP_BEV150_N,2040,0.741240372,From MOVES5,2051,ON
T_LDV_LTP_BEV150_N,2040,0.69676595,From MOVES5,2052,ON
T_LDV_LTP_BEV150_N,2040,0.651476163,From MOVES5,2053,ON
T_LDV_LTP_BEV150_N,2040,0.605221356,From MOVES5,2054,ON
T_LDV_LTP_BEV150_N,2040,0.552567098,From MOVES5,2055,ON
T_LDV_LTP_BEV150_N,2040,0.501730925,From MOVES5,2056,ON
T_LDV_LTP_BEV150_N,2040,0.453063025,From MOVES5,2057,ON
T_LDV_LTP_BEV150_N,2040,0.406850596,From MOVES5,2058,ON
T_LDV_LTP_BEV150_N,2040,0.363724433,From MOVES5,2059,ON
T_LDV_LTP_BEV150_N,2040,0.32407847,From MOVES5,2060,ON
T_LDV_LTP_BEV150_N,2040,0.287781681,From MOVES5,2061,ON
T_LDV_LTP_BEV150_N,2040,0.254686788,From MOVES5,2062,ON
T_LDV_LTP_BEV150_N,2040,0.224888434,From MOVES5,2063,ON
T_LDV_LTP_BEV150_N,2040,0.197901822,From MOVES5,2064,ON
T_LDV_LTP_BEV150_N,2040,0.173955701,From MOVES5,2065,ON
T_LDV_LTP_BEV150_N,2040,0.15255915,From MOVES5,2066,ON
T_LDV_LTP_BEV150_N,2040,0.133489256,From MOVES5,2067,ON
T_LDV_LTP_BEV150_N,2040,0.116803099,From MOVES5,2068,ON
T_LDV_LTP_BEV150_N,2040,0.101969106,From MOVES5,2069,ON
T_LDV_LTP_BEV150_N,2040,0.08891706,From MOVES5,2070,ON
T_LDV_LTP_BEV150_N,2040,0.077446759,From MOVES5,2071,ON
T_LDV_LTP_BEV150_N,2040,0.067378681,From MOVES5,2072,ON
T_LDV_LTP_BEV150_N,2040,0.058552073,From MOVES5,2073,ON
T_LDV_LTP_BEV150_N,2040,0.0508232,From MOVES5,2074,ON
T_LDV_LTP_BEV150_N,2040,0.044063714,From MOVES5,2075,ON
T_LDV_LTP_BEV150_N,2040,0.038159177,From MOVES5,2076,ON
T_LDV_LTP_BEV150_N,2040,0.033007688,From MOVES5,2077,ON
T_LDV_LTP_BEV150_N,2040,0.028518642,From MOVES5,2078,ON
T_LDV_LTP_BEV150_N,2040,0.024611588,From MOVES5,2079,ON
T_LDV_LTP_BEV150_N,2040,0.021215189,From MOVES5,2080,ON
T_LDV_LTP_BEV150_N,2040,0.018266278,From MOVES5,2081,ON
T_LDV_LTP_BEV150_N,2040,0,From MOVES5,2082,ON
T_LDV_LTP_BEV150_N,2045,1,From MOVES5,2045,ON
T_LDV_LTP_BEV150_N,2045,0.991,From MOVES5,2046,ON
T_LDV_LTP_BEV150_N,2045,0.982081,From MOVES5,2047,ON
T_LDV_LTP_BEV150_N,2045,0.973242271,From MOVES5,2048,ON
T_LDV_LTP_BEV150_N,2045,0.959616879,From MOVES5,2049,ON
T_LDV_LTP_BEV150_N,2045,0.941384159,From MOVES5,2050,ON
T_LDV_LTP_BEV150_N,2045,0.918790939,From MOVES5,2051,ON
T_LDV_LTP_BEV150_N,2045,0.891227211,From MOVES5,2052,ON
T_LDV_LTP_BEV150_N,2045,0.859143031,From MOVES5,2053,ON
T_LDV_LTP_BEV150_N,2045,0.823059024,From MOVES5,2054,ON
T_LDV_LTP_BEV150_N,2045,0.783552191,From MOVES5,2055,ON
T_LDV_LTP_BEV150_N,2045,0.741240372,From MOVES5,2056,ON
T_LDV_LTP_BEV150_N,2045,0.69676595,From MOVES5,2057,ON
T_LDV_LTP_BEV150_N,2045,0.651476163,From MOVES5,2058,ON
T_LDV_LTP_BEV150_N,2045,0.605221356,From MOVES5,2059,ON
T_LDV_LTP_BEV150_N,2045,0.552567098,From MOVES5,2060,ON
T_LDV_LTP_BEV150_N,2045,0.501730925,From MOVES5,2061,ON
T_LDV_LTP_BEV150_N,2045,0.453063025,From MOVES5,2062,ON
T_LDV_LTP_BEV150_N,2045,0.406850596,From MOVES5,2063,ON
T_LDV_LTP_BEV150_N,2045,0.363724433,From MOVES5,2064,ON
T_LDV_LTP_BEV150_N,2045,0.32407847,From MOVES5,2065,ON
T_LDV_LTP_BEV150_N,2045,0.287781681,From MOVES5,2066,ON
T_LDV_LTP_BEV150_N,2045,0.254686788,From MOVES5,2067,ON
T_LDV_LTP_BEV150_N,2045,0.224888434,From MOVES5,2068,ON
T_LDV_LTP_BEV150_N,2045,0.197901822,From MOVES5,2069,ON
T_LDV_LTP_BEV150_N,2045,0.173955701,From MOVES5,2070,ON
