,scenario,region,sector,period,tech,vintage,capacity
749,zulu,ON,transportation,2050,T_LDV_LTP_CNG_N,2035,0.0001204049526755876
751,zulu,ON,transportation,2030,T_LDV_C_CNG_N,2025,0.0005022776375275751
752,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV35_N,2050,0.9734211256361647
781,zulu,ON,transportation,2030,T_LDV_C_DSL_EX,2020,3.051879688
793,zulu,ON,transportation,2025,T_LDV_LTP_BEV300_EX,2015,0.07185589
798,zulu,ON,transportation,2040,T_LDV_LTP_GSL_N,2040,0.00024342749064425184
802,zulu,ON,transportation,2035,T_LDV_C_GSL_PHEV35_N,2025,0.0019058244364639429
805,zulu,ON,transportation,2025,T_LDV_LTP_GSL_HEV_EX,2020,17.865808047
808,zulu,ON,transportation,2030,T_LDV_LTP_GSL_EX,2015,256.271590284
810,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV35_N,2040,32.22928394706088
812,zulu,ON,transportation,2030,T_LDV_C_GSL_HEV_EX,2020,38.084350047200004
831,zulu,ON,transportation,2035,T_LDV_C_GSL_HEV_N,2035,1868.0569577956553
837,zulu,ON,transportation,2045,T_LDV_LTP_BEV400_N,2040,0.001088482268871087
840,zulu,ON,transportation,2040,T_LDV_LTP_GSL_N,2030,0.00022995707600845103
848,zulu,ON,transportation,2040,T_LDV_C_DSL_N,2040,0.00017580881295669194
850,zulu,ON,transportation,2045,T_LDV_C_BEV400_N,2040,946.0915715893268
857,zulu,ON,transportation,2035,T_LDV_C_BEV400_N,2030,0.0022847833967645902
860,zulu,ON,transportation,2040,T_LDV_LTP_DSL_N,2040,0.00012538875477413288
870,zulu,ON,transportation,2050,T_LDV_C_CNG_N,2040,0.00028524718928303383
875,zulu,ON,transportation,2040,T_LDV_C_GSL_N,2035,0.00020446986447642088
876,zulu,ON,transportation,2040,T_LDV_LTP_GSL_HEV_N,2040,1984.8116678739302
880,zulu,ON,transportation,2025,T_LDV_LTP_CNG_N,2025,0.0009074092251452712
888,zulu,ON,transportation,2035,T_LDV_C_GSL_HEV_N,2025,1951.8340779796993
895,zulu,ON,transportation,2045,T_LDV_LTP_BEV400_N,2030,0.000156587992957391
907,zulu,ON,transportation,2030,T_LDV_LTP_BEV400_N,2030,0.0007829399647869549
911,zulu,ON,transportation,2050,T_LDV_C_GSL_PHEV35_N,2045,0.0008688623274416342
914,zulu,ON,transportation,2050,T_LDV_LTP_BEV200_N,2035,0.0002293258807136815
917,zulu,ON,transportation,2040,T_LDV_LTP_BEV300_N,2040,0.000816363032675981
918,zulu,ON,transportation,2040,T_LDV_LTP_DSL_N,2030,0.0001532743347821315
922,zulu,ON,transportation,2035,T_LDV_LTP_BEV300_EX,2020,0.8753039166000001
932,zulu,ON,transportation,2040,T_LDV_LTP_GSL_HEV_N,2030,0.00135927611383629
952,zulu,ON,transportation,2050,T_LDV_C_GSL_PHEV50_N,2040,0.0004976037036587555
953,zulu,ON,transportation,2030,T_LDV_LTP_GSL_PHEV35_N,2025,1636.3136800032535
959,zulu,ON,transportation,2035,T_LDV_LTP_DSL_EX,2020,11.619078883
986,zulu,ON,transportation,2040,T_LDV_LTP_BEV300_N,2030,0.0005872076042042051
989,zulu,ON,transportation,2050,T_LDV_C_BEV400_N,2050,1138.5160985009516
1004,zulu,ON,transportation,2040,T_LDV_C_CNG_N,2030,0.00021169604092073716
1017,zulu,ON,transportation,2045,T_LDV_C_GSL_N,2045,0.00022654210922511147
1019,zulu,ON,transportation,2040,T_LDV_LTP_FCEV400_N,2035,0.0001826910779075969
1032,zulu,ON,transportation,2035,T_LDV_LTP_CNG_N,2030,0.00047062152367972155
1039,zulu,ON,transportation,2050,T_LDV_C_BEV400_N,2040,756.8732572714615
1046,zulu,ON,transportation,2040,T_LDV_LTP_GSL_PHEV50_N,2025,0.00021580566954513484
1052,zulu,ON,transportation,2025,T_LDV_LTP_BEV200_N,2025,0.00011919957153541754
1062,zulu,ON,transportation,2045,T_LDV_C_BEV200_N,2045,405.5687593766407
1074,zulu,ON,transportation,2050,T_LDV_C_BEV300_N,2045,608.3531390182574
1084,zulu,ON,transportation,2045,T_LDV_C_GSL_HEV_N,2040,300.19888235799084
1093,zulu,ON,transportation,2035,T_LDV_LTP_GSL_PHEV35_N,2035,59.223774685128255
1102,zulu,ON,transportation,2045,T_LDV_C_BEV150_N,2045,202.78437967478686
1116,zulu,ON,transportation,2035,T_LDV_LTP_BEV150_N,2035,0.0005733206528854059
1120,zulu,ON,transportation,2045,T_LDV_LTP_GSL_PHEV50_N,2045,0.0006231639559872333
1123,zulu,ON,transportation,2025,T_LDV_C_GSL_HEV_EX,2015,24.4895650144
1139,zulu,ON,transportation,2050,T_LDV_LTP_CNG_N,2050,0.0004710933746654432
1145,zulu,ON,transportation,2030,T_LDV_C_GSL_HEV_N,2030,1492.7605628443828
1146,zulu,ON,transportation,2045,T_LDV_C_BEV150_N,2035,35.85663369090672
1151,zulu,ON,transportation,2035,T_LDV_C_CNG_N,2035,0.00025909876882104505
1152,zulu,ON,transportation,2040,T_LDV_LTP_BEV400_N,2035,0.0022932365507247494
