region,tech,vintage,capacity
AB,T_MDV_T_DSL_EX,2010.0,123.71159999999999
AB,T_MDV_T_DSL_EX,2015.0,111.16781292550479
AB,T_MDV_T_DSL_EX,2020.0,103.07537355142652
AB,T_MDV_T_GSL_EX,2005.0,67.1972
AB,T_MDV_T_GSL_EX,2010.0,82.4744
AB,T_MDV_T_GSL_EX,2015.0,68.93538234020153
AB,T_MDV_T_GSL_EX,2020.0,67.32228375146697
BC,T_LDV_C_BEV150_EX,2010.0,0.5391349810983073
BC,T_LDV_C_BEV150_EX,2015.0,5.085828628180275
BC,T_LDV_C_BEV150_EX,2020.0,18.351183988482813
BC,T_LDV_C_DSL_EX,2005.0,8.25504
BC,T_LDV_C_DSL_EX,2010.0,10.734719282717553
BC,T_LDV_C_DSL_EX,2015.0,2.4791566949784674
BC,T_LDV_C_DSL_EX,2020.0,0.0047482746788554886
BC,T_LDV_C_GSL_EX,2005.0,266.91296
BC,T_LDV_C_GSL_EX,2010.0,345.1654391569481
BC,T_LDV_C_GSL_EX,2015.0,337.8140624195621
BC,T_LDV_C_GSL_EX,2020.0,201.69538233760176
BC,T_LDV_C_GSL_HEV_EX,2010.0,6.469080602115434
BC,T_LDV_C_GSL_HEV_EX,2015.0,8.099972866413562
BC,T_LDV_C_GSL_HEV_EX,2020.0,16.446675924303587
BC,T_LDV_C_GSL_PHEV35_EX,2010.0,0.4726259771206534
BC,T_LDV_C_GSL_PHEV35_EX,2015.0,4.0249793908656235
BC,T_LDV_C_GSL_PHEV35_EX,2020.0,1.8240094749329945
BC,T_HDV_T_DSL_EX,2005.0,14.947
BC,T_HDV_T_DSL_EX,2010.0,13.721
BC,T_HDV_T_DSL_EX,2015.0,17.202
BC,T_HDV_T_DSL_EX,2020.0,16.77
BC,T_LDV_LTF_DSL_EX,2005.0,4.47772
BC,T_LDV_LTF_DSL_EX,2010.0,6.573163207470657
BC,T_LDV_LTF_DSL_EX,2015.0,15.024879572603519
BC,T_LDV_LTF_DSL_EX,2020.0,22.427039955453083
BC,T_LDV_LTF_GSL_EX,2005.0,106.34585
BC,T_LDV_LTF_GSL_EX,2010.0,114.4403493778566
BC,T_LDV_LTF_GSL_EX,2015.0,162.21216533724478
BC,T_LDV_LTF_GSL_EX,2020.0,144.45359763512042
BC,T_LDV_LTF_GSL_HEV_EX,2010.0,0.024989547045570343
BC,T_LDV_LTF_GSL_HEV_EX,2020.0,6.669473004193303
BC,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.2909550901516994
BC,T_LDV_LTF_GSL_PHEV35_EX,2020.0,0.5069867257551975
BC,T_LDV_LTP_BEV300_EX,2010.0,0.007532108848255852
BC,T_LDV_LTP_BEV300_EX,2015.0,0.6627052832456406
BC,T_LDV_LTP_BEV300_EX,2020.0,14.948985907832792
BC,T_LDV_LTP_DSL_EX,2005.0,8.70774
BC,T_LDV_LTP_DSL_EX,2010.0,11.794731795693377
BC,T_LDV_LTP_DSL_EX,2015.0,17.169217900768352
BC,T_LDV_LTP_DSL_EX,2020.0,18.161885628258954
BC,T_LDV_LTP_GSL_EX,2005.0,275.7451
BC,T_LDV_LTP_GSL_EX,2010.0,300.41537998863106
BC,T_LDV_LTP_GSL_EX,2015.0,438.24966697948713
BC,T_LDV_LTP_GSL_EX,2020.0,387.2822158869004
BC,T_LDV_LTP_GSL_HEV_EX,2010.0,0.6686879055273733
BC,T_LDV_LTP_GSL_HEV_EX,2015.0,3.22113451211571
BC,T_LDV_LTP_GSL_HEV_EX,2020.0,29.29487619012171
BC,T_LDV_LTP_GSL_PHEV35_EX,2010.0,0.0024082012999282996
BC,T_LDV_LTP_GSL_PHEV35_EX,2015.0,1.022275324383145
BC,T_LDV_LTP_GSL_PHEV35_EX,2020.0,5.382036386886137
BC,T_MDV_T_DSL_EX,2005.0,57.154799999999994
BC,T_MDV_T_DSL_EX,2010.0,60.0564
BC,T_MDV_T_DSL_EX,2015.0,78.37094041678606
BC,T_MDV_T_DSL_EX,2020.0,71.04803572847024
BC,T_MDV_T_GSL_EX,2005.0,38.1032
BC,T_MDV_T_GSL_EX,2010.0,40.037600000000005
BC,T_MDV_T_GSL_EX,2015.0,48.47828874136403
BC,T_MDV_T_GSL_EX,2020.0,46.335255656463985
MB,T_LDV_C_BEV150_EX,2010.0,0.12554090307877086
MB,T_LDV_C_BEV150_EX,2015.0,0.9737503975127257
MB,T_LDV_C_BEV150_EX,2020.0,2.8798890610796257
MB,T_LDV_C_DSL_EX,2005.0,1.85256
MB,T_LDV_C_DSL_EX,2010.0,2.5091040386171213
MB,T_LDV_C_DSL_EX,2015.0,0.5290005931714268
MB,T_LDV_C_GSL_EX,2005.0,59.89944
MB,T_LDV_C_GSL_EX,2010.0,80.74557635415557
MB,T_LDV_C_GSL_EX,2015.0,66.39244672867045
MB,T_LDV_C_GSL_EX,2020.0,32.789840885084324
MB,T_LDV_C_GSL_HEV_EX,2010.0,1.522078234423855
MB,T_LDV_C_GSL_HEV_EX,2015.0,1.5696839255815012
MB,T_LDV_C_GSL_HEV_EX,2020.0,2.601147928648185
MB,T_LDV_C_GSL_PHEV35_EX,2010.0,0.1107004697246836
MB,T_LDV_C_GSL_PHEV35_EX,2015.0,0.7761183550638955
MB,T_LDV_C_GSL_PHEV35_EX,2020.0,0.29624519409084876
MB,T_HDV_T_DSL_EX,2005.0,7.086
MB,T_HDV_T_DSL_EX,2010.0,7.106
MB,T_HDV_T_DSL_EX,2015.0,7.413
MB,T_HDV_T_DSL_EX,2020.0,7.403
MB,T_LDV_LTF_DSL_EX,2005.0,1.00808
MB,T_LDV_LTF_DSL_EX,2010.0,1.8027693429126685
MB,T_LDV_LTF_DSL_EX,2015.0,3.569116907678948
MB,T_LDV_LTF_DSL_EX,2020.0,4.793358003766947
MB,T_LDV_LTF_GSL_EX,2005.0,23.941899999999997
MB,T_LDV_LTF_GSL_EX,2010.0,31.224595753706026
MB,T_LDV_LTF_GSL_EX,2015.0,38.533064640886366
MB,T_LDV_LTF_GSL_EX,2020.0,31.014801135563275
MB,T_LDV_LTF_GSL_HEV_EX,2010.0,0.006718777530029161
MB,T_LDV_LTF_GSL_HEV_EX,2020.0,1.4034619226753475
MB,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.0658184514346829
MB,T_LDV_LTF_GSL_PHEV35_EX,2020.0,0.1073715249713017
MB,T_LDV_LTP_BEV300_EX,2010.0,0.002810709991855955
MB,T_LDV_LTP_BEV300_EX,2015.0,0.20832151979316407
MB,T_LDV_LTP_BEV300_EX,2020.0,4.288169532732144
MB,T_LDV_LTP_DSL_EX,2005.0,2.6388
MB,T_LDV_LTP_DSL_EX,2010.0,4.405429672541024
MB,T_LDV_LTP_DSL_EX,2015.0,5.638224497139024
MB,T_LDV_LTP_DSL_EX,2020.0,5.278108821060464
MB,T_LDV_LTP_GSL_EX,2005.0,83.562
MB,T_LDV_LTP_GSL_EX,2010.0,111.5476320069019
MB,T_LDV_LTP_GSL_EX,2015.0,142.14619085301356
MB,T_LDV_LTP_GSL_EX,2020.0,112.8619586478491
MB,T_LDV_LTP_GSL_HEV_EX,2010.0,0.24977345082053923
MB,T_LDV_LTP_GSL_HEV_EX,2015.0,1.0205088151766155
MB,T_LDV_LTP_GSL_HEV_EX,2020.0,8.42567581089095
MB,T_LDV_LTP_GSL_PHEV35_EX,2015.0,0.3197543148776318
MB,T_LDV_LTP_GSL_PHEV35_EX,2020.0,1.5440871874673512
MB,T_MDV_T_DSL_EX,2005.0,7.7634
MB,T_MDV_T_DSL_EX,2010.0,10.684199999999999
MB,T_MDV_T_DSL_EX,2015.0,12.48716567055115
MB,T_MDV_T_DSL_EX,2020.0,11.074561612807791
MB,T_MDV_T_GSL_EX,2005.0,5.1756
MB,T_MDV_T_GSL_EX,2010.0,7.1228
MB,T_MDV_T_GSL_EX,2015.0,7.752412694864187
MB,T_MDV_T_GSL_EX,2020.0,7.226282638777487
NB,T_LDV_C_BEV150_EX,2010.0,0.1332891977199508
NB,T_LDV_C_BEV150_EX,2015.0,0.8947398171219503
NB,T_LDV_C_BEV150_EX,2020.0,2.729318688782171
NB,T_LDV_C_DSL_EX,2005.0,1.79286
NB,T_LDV_C_DSL_EX,2010.0,2.6768386232387362
NB,T_LDV_C_DSL_EX,2015.0,0.5228363849975548
NB,T_LDV_C_GSL_EX,2005.0,57.969139999999996
NB,T_LDV_C_GSL_EX,2010.0,86.13223033136816
NB,T_LDV_C_GSL_EX,2015.0,63.77963453989017
NB,T_LDV_C_GSL_EX,2020.0,30.73246360586719
NB,T_LDV_C_GSL_HEV_EX,2010.0,1.620645109704686
NB,T_LDV_C_GSL_HEV_EX,2015.0,1.4883207556567024
NB,T_LDV_C_GSL_HEV_EX,2020.0,2.458695540313843
NB,T_LDV_C_GSL_PHEV35_EX,2010.0,0.11799673796846595
NB,T_LDV_C_GSL_PHEV35_EX,2015.0,0.7314685023336205
NB,T_LDV_C_GSL_PHEV35_EX,2020.0,0.2777211901106876
NB,T_HDV_T_DSL_EX,2005.0,4.5
