tech,flag,sector,category,sub_category,unlim_cap,annual,reserve,curtail,retire,flex,exchange,seas_stor,description,data_id
E_HYD_MLY-EXS,ps,electricity,,,0,0,1,0,0,0,0,1,hydroelectric generation with monthly reservoir storage - Bersimis 1 - Brisay - Eastmain 1 - Eastmain 1-A - Hart-Jaune - Laforge 1 - La Grande 1 - La Grande 2 - La Grande 3 - La Grande 4 - La Grande 2A - Manic 5A - Manic 5 - Mercier - Outardes 4 - Romaine 2 - Romaine 3 - Romaine 4 - Rapide 7 - Rapide-Blanc - Sainte-Marguerite 3 - Toulnustouc - existing,ELCHR001
E_HYD_ROR-EXS,p,electricity,,,0,0,1,1,0,0,0,0,hydroelectric run-of-river generation - AbÃ©naquis - Ayers 1 - Ayers 2 - Beauharnois - BÃ©sy - Belding - Belleterre - Bird - Belle-RiviÃ¨re Hydro - Bryson - Buckingham - Chute-aux-Galets - Chute-Allard - Chute Blanche - Chute-Bell - Chute-Burroughs - Chute-des-Chats - Courbe-du-Sault - Chute Garneau - Chutes-Ã -Gorry - Chute-Hemmings - Chelsea - Chute Ã  Magnan - Chutes de la ChaudiÃ¨re - Chute du Quatre Milles - CÃ´te Ste-Catherine - Chute du Six Milles - Dufferin - Donnacona - Drummondville - East Angus - Elkam Metal - Franquelinâ€“Chutes-Ã -Thompson - Forestville - Frontenac - Grande-Dame - Glenford - Grand-MÃ¨re - Hydro-Fraser - High Falls - Hydro-Canyon Saint-Joachim - Hydraska - Jean GuÃ©rin - JonquiÃ¨re 1 - Joey-Tanenbaum - La Gabelle - Larocque - Lebreux - Les CÃ¨dres - LefranÃ§ois - La Sarre 1 - La Tuque - McDougall - Magpie - Mistassini - Mont-Laurier - MemphrÃ©magog - Montmagny - Manouane Sipi - Marches Naturelles - Maquatua - Minashtuk - Masson - Mitis 1 - Mitis 2 - Pont Arnaud - Petites Bergeronnes - Portneuf I - Portneuf II - Portneuf III - PÃ©ribonka - PentecÃ´te - Paton - Rapides-des-CÃ¨dres - RiviÃ¨re-du-Loup - RiviÃ¨re-des-Prairies - Rock Forest - Rocher-de-Grand-MÃ¨re - Rimouski - Rapide 2 - Rapide-des-CÅ“urs - Rapides-Farmers - RSP I - RSP II - RSP III - Rawdon - St-Alban - Ste-Brigitte - Sept-Chutes - St-Lambert - Sainte-Margeurite 1-1A - Saint-Narcisse - St-RaphaÃ«l - Thibaudeau-Ricard - Val-Jalbert - Weedon - Windsor - Winston - WR Beatty - Westbury - existing,ELCHR001
E_BIO_G-EXS,pb,electricity,,,0,0,1,0,0,0,0,0,biogas generation - NRGreen Alameda Heat Recovery Facility - NRGreen Estlin Heat Recovery Facility - NRGreen Loreburn Heat Recovery Facility - existing,ELCHR001
E_BIO_M-EXS,p,electricity,,,0,0,1,0,0,0,0,0,biomass generation - MLTC Bioenergy Centre - existing,ELCHR001
E_COAL-EXS,p,electricity,,,0,0,1,0,0,0,0,0,coal generation - Boundary Dam - existing,ELCHR001
E_COAL_CCS-EXS,p,electricity,,,0,0,1,0,0,0,0,0,coal generation with 95% ccs - Boundary Dam - existing,ELCHR001
E_HYD_DLY-EXS,p,electricity,,,0,0,1,0,0,0,0,0,hydroelectric generation with daily reservoir storage - Coteau Creek - Coteau Creek - Coteau Creek - EB Campbell - EB Campbell - EB Campbell - EB Campbell - EB Campbell - EB Campbell - EB Campbell - EB Campbell - Nipawin - Nipawin - Nipawin - existing,ELCHR001
E_NG_CC-EXS,p,electricity,,,0,0,1,0,0,0,0,0,natural gas combined cycle generation - Chinook - existing,ELCHR001
E_NG_CG-EXS,p,electricity,,,0,0,1,0,0,0,0,0,natural gas heat and power cogeneration - Cory - Cory - Cory - existing,ELCHR001
E_NG_CT-EXS,p,electricity,,,0,0,1,0,0,0,0,0,natural gas combustion turbine generation - North Battleford - existing,ELCHR001
E_SOL_PV-EXS,p,electricity,,,0,0,1,1,0,0,0,0,utility-scale solar photovoltaic generation - Foxtail Grove - existing,ELCHR001
E_WND_ON-EXS,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - Bekevar - existing,ELCHR001
E_HYD_MLY-EXS-IN,pb,electricity,,,0,0,0,0,0,0,0,0,inflow to reservoir for monthly hydroelectric generation,ELCHR001
E_BAT_3H-EXS,ps,electricity,,,0,0,0,0,0,0,0,0,utility-scale lithium-ion battery storage with 3-hour capacity - Kitchener - existing,ELCHR001
E_BAT_4H-EXS,ps,electricity,,,0,0,0,0,0,0,0,0,utility-scale lithium-ion battery storage with 4-hour capacity - AM-Energy Storage 1 - AM Energy Storage 2 - Elmira - Parry - existing,ELCHR001
E_BAT_5H-EXS,ps,electricity,,,0,0,0,0,0,0,0,0,utility-scale lithium-ion battery storage with 5-hour capacity - Stratford - existing,ELCHR001
E_PUMP_4H-EXS,ps,electricity,,,0,0,0,0,0,0,0,0,hydroelectric pumped storage with 6-hour capacity - Beck Pump - existing,ELCHR001
E_BAT_2H-EXS,ps,electricity,,,0,0,0,0,0,0,0,0,utility-scale lithium-ion battery storage with 2-hour capacity - Slemon Park Storage - Summerside Storage - existing,ELCHR001
E_BAT_1H-EXS,ps,electricity,,,0,0,0,0,0,0,0,0,utility-scale lithium-ion battery storage with 1-hour capacity - Fleet Street - existing,ELCHR001
E_BIO_M-NEW,p,electricity,,,0,0,1,0,0,0,0,0,biomass generation - new,ELCHR001
E_NG_CC-NEW,p,electricity,,,0,0,1,0,0,0,0,0,natural gas combined cycle generation - new,ELCHR001
E_NG_CCS-NEW,p,electricity,,,0,0,1,0,0,0,0,0,natural gas combined cycle generation with 95% ccs - new,ELCHR001
E_NG_CT-NEW,p,electricity,,,0,0,1,0,0,0,0,0,natural gas combustion turbine generation - new,ELCHR001
E_NUC_PWR-NEW,pb,electricity,,,0,0,1,0,0,0,0,0,nuclear pressurised water reactor generation - new,ELCHR001
E_NUC_SMR-NEW,pb,electricity,,,0,0,1,0,0,0,0,0,nuclear small modular reactor generation - new,ELCHR001
E_SOL_PV-NEW-1,p,electricity,,,0,0,1,1,0,0,0,0,utility-scale solar photovoltaic generation - new,ELCHR001
E_SOL_PV-NEW-2,p,electricity,,,0,0,1,1,0,0,0,0,utility-scale solar photovoltaic generation - new,ELCHR001
E_SOL_PV-NEW-3,p,electricity,,,0,0,1,1,0,0,0,0,utility-scale solar photovoltaic generation - new,ELCHR001
E_SOL_PV-NEW-4,p,electricity,,,0,0,1,1,0,0,0,0,utility-scale solar photovoltaic generation - new,ELCHR001
E_SOL_PV-NEW-5,p,electricity,,,0,0,1,1,0,0,0,0,utility-scale solar photovoltaic generation - new,ELCHR001
E_WND_ON-NEW-1,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-2,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-3,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-4,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-5,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-6,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-7,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-8,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-9,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-10,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-11,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-12,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_WND_ON-NEW-13,p,electricity,,,0,0,1,1,0,0,0,0,onshore wind generation - new,ELCHR001
E_BAT_2H-NEW,ps,electricity,,,0,0,0,0,0,0,0,0,utility-scale lithium-ion battery storage with 2-hour capacity - new,ELCHR001
E_BAT_4H-NEW,ps,electricity,,,0,0,0,0,0,0,0,0,utility-scale lithium-ion battery storage with 4-hour capacity - new,ELCHR001
E_COAL_CCS_RFIT_90,p,electricity,,,0,0,0,0,0,0,0,0,90% ccs retrofit for coal generation,ELCHR001
E_COAL_RFIT_BYPASS,p,electricity,,,1,0,0,0,0,0,0,0,dummy bypass for ccs retrofit,ELCHR001
E_COAL_CCS_RFIT_95,p,electricity,,,0,0,0,0,0,0,0,0,95% ccs retrofit for coal generation,ELCHR001
E_NG_CCS_RFIT_90,p,electricity,,,0,0,0,0,0,0,0,0,90% ccs retrofit for natural gas combined cycle generation,ELCHR001
E_NG_CC_RFIT_BYPASS,p,electricity,,,1,0,0,0,0,0,0,0,dummy bypass for ccs retrofit,ELCHR001
E_NG_CCS_RFIT_95,p,electricity,,,0,0,0,0,0,0,0,0,95% ccs retrofit for natural gas combustion turbine generation,ELCHR001
E_INT,p,electricity,,,0,0,0,0,0,0,1,0,endogenous inter-regional intertie,ELCHR001
E_INT_IN-USA,p,electricity,,,0,0,0,1,0,0,0,0,boundary intertie entering the model - treated as a variable generator - USA into AB,ELCHRBINTABUSA001
E_INT_OUT-USA,p,electricity,,,1,1,0,0,0,0,0,0,boundary intertie leaving the model - treated as a demand - BC out to USA,ELCHRBINTBCUSA001
F_E_BIO_G,p,electricity,,,1,1,0,0,0,0,0,0,Gaseous bioenergy distribution from fuel sector to electric power sector,FUELHR001
F_E_BIO_M,p,electricity,,,1,1,0,0,0,0,0,0,Solid bioenergy distribution from fuel sector to electric power sector,FUELHR001
F_E_NG,p,electricity,,,1,1,0,0,0,0,0,0,Natural gas distribution from fuel sector to electric power sector,FUELHR001
F_E_COAL,p,electricity,,,1,1,0,0,0,0,0,0,Coal distribution from fuel sector to electric power sector,FUELHR001
F_E_OIL,p,electricity,,,1,1,0,0,0,0,0,0,Oil distribution from fuel sector to electric power sector,FUELHR001
F_E_DSL,p,electricity,,,1,1,0,0,0,0,0,0,Diesel distribution from fuel sector to electric power sector,FUELHR001
F_E_U_NAT,p,electricity,,,1,1,0,0,0,0,0,0,Natural uranium distribution from fuel sector to electric power sector,FUELHR001
F_E_U_ENR,p,electricity,,,1,1,0,0,0,0,0,0,Enriched uranium distribution from fuel sector to electric power sector,FUELHR001
F_E_GSL,p,electricity,,,1,1,0,0,0,0,0,0,Gasoline distribution from fuel sector to electric power sector,FUELHR001
F_R_OIL,p,residential,,,1,1,0,0,0,0,0,0,Oil distribution from fuel sector to residential sector,FUELHR001
F_R_NG,p,residential,,,1,1,0,0,0,0,0,0,Natural gas distribution from fuel sector to residential sector,FUELHR001
E_R_ELC,p,residential,,,1,0,0,0,0,0,0,0,Electricity distribution to residential sector,FUELHR001
F_R_LPG,p,residential,,,1,1,0,0,0,0,0,0,Liquefied petroleum gas (lpg) (primarily propane) distribution from fuel sector to residential sector,FUELHR001
F_R_WOOD,p,residential,,,1,1,0,0,0,0,0,0,Wood distribution from fuel sector to residential sector,FUELHR001
F_C_OIL,p,commercial,,,1,1,0,0,0,0,0,0,Oil distribution from fuel sector to commercial sector,FUELHR001
F_C_NG,p,commercial,,,1,1,0,0,0,0,0,0,Natural gas distribution from fuel sector to commercial sector,FUELHR001
E_C_ELC,p,commercial,,,1,0,0,0,0,0,0,0,Electricity distribution to commercial sector,FUELHR001
E_I_ELC,p,industrial,,,1,0,0,0,0,0,0,0,Electricity distribution to industrial sector,FUELHR001
F_I_NG,p,industrial,,,1,1,0,0,0,0,0,0,Natural gas distribution from fuel sector to industrial sector,FUELHR001
F_I_HFO,p,industrial,,,1,1,0,0,0,0,0,0,Heavy fuel oil distribution from fuel sector to industrial sector,FUELHR001
E_T_ELC,p,transportation,,,1,0,0,0,0,0,0,0,Electricity distribution to transportation sector,FUELHR001
F_T_H2,p,transportation,,,1,1,0,0,0,0,0,0,Hydrogen distribution from fuel sector to transportation sector,FUELHR001
F_T_NG,p,transportation,,,1,1,0,0,0,0,0,0,Natural gas distribution from fuel sector to transportation sector,FUELHR001
F_T_HFO,p,transportation,,,1,1,0,0,0,0,0,0,Heavy fuel oil distribution from fuel sector to transportation sector,FUELHR001
F_T_GSL,p,transportation,,,1,1,0,0,0,0,0,0,Gasoline distribution from fuel sector to transportation sector,FUELHR001
F_I_COAL,p,industrial,,,1,1,0,0,0,0,0,0,Coal distribution from fuel sector to industrial sector,FUELHR001
F_I_DSL,p,industrial,,,1,1,0,0,0,0,0,0,Diesel distribution from fuel sector to industrial sector,FUELHR001
F_I_NGL,p,industrial,,,1,1,0,0,0,0,0,0,Natural gas liquids distribution from fuel sector to industrial sector,FUELHR001
F_I_OTH,p,industrial,,,1,1,0,0,0,0,0,0,Other fuels distribution from fuel sector to industrial sector,FUELHR001
F_I_PCOKE,p,industrial,,,1,1,0,0,0,0,0,0,Petroleum coke distribution from fuel sector to industrial sector,FUELHR001
F_I_WOOD,p,industrial,,,1,1,0,0,0,0,0,0,Wood distribution from fuel sector to industrial sector,FUELHR001
F_I_COKE,p,industrial,,,1,1,0,0,0,0,0,0,Coke distribution from fuel sector to industrial sector,FUELHR001
F_T_ETH,p,transportation,,,1,1,0,0,0,0,0,0,Ethanol distribution from fuel sector to transportation sector,FUELHR001
F_T_DSL,p,transportation,,,1,1,0,0,0,0,0,0,Diesel distribution from fuel sector to transportation sector,FUELHR001
F_T_RDSL,p,transportation,,,1,1,0,0,0,0,0,0,Renewable diesel distribution from fuel sector to transportation sector,FUELHR001
F_T_CNG,p,transportation,,,1,1,0,0,0,0,0,0,Compressed natural gas distribution from fuel sector to transportation sector,FUELHR001
F_T_JTF,p,transportation,,,1,1,0,0,0,0,0,0,Jet fuel distribution from fuel sector to transportation sector,FUELHR001
F_T_SPK,p,transportation,,,1,1,0,0,0,0,0,0,Synthetic jet fuel distribution from fuel sector to transportation sector,FUELHR001
F_T_MDO,p,transportation,,,1,1,0,0,0,0,0,0,Marine diesel oil distribution from fuel sector to transportation sector,FUELHR001
F_T_LNG,p,transportation,,,1,1,0,0,0,0,0,0,Liquefied natural gas distribution from fuel sector to transportation sector,FUELHR001
F_A_NG,p,agriculture,,,1,1,0,0,0,0,0,0,Natural gas distribution from fuel sector to agriculture sector,FUELHR001
E_A_ELC,p,agriculture,,,1,0,0,0,0,0,0,0,Electricity distribution to agriculture sector,FUELHR001
F_A_DSL,p,agriculture,,,1,1,0,0,0,0,0,0,Diesel distribution from fuel sector to agriculture sector,FUELHR001
F_A_GSL,p,agriculture,,,1,1,0,0,0,0,0,0,Gasoline distribution from fuel sector to agriculture sector,FUELHR001
F_IMP_BIO_G,p,fuel,,,1,1,0,0,0,0,0,0,Gaseous bioenergy import into fuel sector,FUELHR001
F_IMP_BIO_M,p,fuel,,,1,1,0,0,0,0,0,0,Solid bioenergy import into fuel sector,FUELHR001
F_IMP_CNG,p,fuel,,,1,1,0,0,0,0,0,0,Compressed natural gas import into fuel sector,FUELHR001
F_IMP_COAL,p,fuel,,,1,1,0,0,0,0,0,0,Coal import into fuel sector,FUELHR001
F_IMP_COKE,p,fuel,,,1,1,0,0,0,0,0,0,Coke import into fuel sector,FUELHR001
F_IMP_DSL,p,fuel,,,1,1,0,0,0,0,0,0,Diesel import into fuel sector,FUELHR001
F_IMP_ETH,p,fuel,,,1,1,0,0,0,0,0,0,Ethanol import into fuel sector,FUELHR001
F_IMP_GSL,p,fuel,,,1,1,0,0,0,0,0,0,Gasoline import into fuel sector,FUELHR001
F_IMP_H2,p,fuel,,,1,1,0,0,0,0,0,0,Hydrogen import into fuel sector,FUELHR001
F_IMP_HFO,p,fuel,,,1,1,0,0,0,0,0,0,Heavy fuel oil import into fuel sector,FUELHR001
F_IMP_JTF,p,fuel,,,1,1,0,0,0,0,0,0,Jet fuel import into fuel sector,FUELHR001
F_IMP_LNG,p,fuel,,,1,1,0,0,0,0,0,0,Liquefied natural gas import into fuel sector,FUELHR001
F_IMP_LPG,p,fuel,,,1,1,0,0,0,0,0,0,Liquefied petroleum gas (lpg) (primarily propane) import into fuel sector,FUELHR001
F_IMP_MDO,p,fuel,,,1,1,0,0,0,0,0,0,Marine diesel oil import into fuel sector,FUELHR001
F_IMP_NG,p,fuel,,,1,1,0,0,0,0,0,0,Natural gas import into fuel sector,FUELHR001
F_IMP_NGL,p,fuel,,,1,1,0,0,0,0,0,0,Natural gas liquids import into fuel sector,FUELHR001
F_IMP_OIL,p,fuel,,,1,1,0,0,0,0,0,0,Oil import into fuel sector,FUELHR001
F_IMP_OTH,p,fuel,,,1,1,0,0,0,0,0,0,Other fuels import into fuel sector,FUELHR001
F_IMP_PCOKE,p,fuel,,,1,1,0,0,0,0,0,0,Petroleum coke import into fuel sector,FUELHR001
F_IMP_RDSL,p,fuel,,,1,1,0,0,0,0,0,0,Renewable diesel import into fuel sector,FUELHR001
F_IMP_SPK,p,fuel,,,1,1,0,0,0,0,0,0,Synthetic jet fuel import into fuel sector,FUELHR001
F_IMP_U_ENR,p,fuel,,,1,1,0,0,0,0,0,0,Enriched uranium import into fuel sector,FUELHR001
F_IMP_U_NAT,p,fuel,,,1,1,0,0,0,0,0,0,Natural uranium import into fuel sector,FUELHR001
